key,text
event.hkr.empty_cushion.title,The Empty Cushion
obj.hkr.find_second_cup,Find why a second cup is warm.
dlg.hkr.empty_cushion.reimu.001,I didn't wait. I simply hadn't put the second cup away yet.
choice.hkr.empty_cushion.direct,"Say, ""You fixed that for me."""
choice.hkr.empty_cushion.playful,Ask whether every visitor gets reserved seating.
choice.hkr.empty_cushion.patient,Pour tea and leave the empty place open.
choice.hkr.empty_cushion.defiant,"Say, ""You could admit you're glad."""
dlg.hkr.empty_cushion.reimu.excellent,...You remembered the temperature. Sit down before it changes.
dlg.hkr.empty_cushion.reimu.clear,That is fine. Hand me the other cup.
dlg.hkr.empty_cushion.reimu.loss,Too hot. Move over; I will fix it.
dlg.hkr.empty_cushion.reimu.direct,I fixed a cushion. Don't make it important.
dlg.hkr.empty_cushion.reimu.playful,Reserved seating costs extra. You can pay after the tea.
dlg.hkr.empty_cushion.reimu.patient,...At least someone here knows when silence is useful.
dlg.hkr.empty_cushion.reimu.defiant,"If I were glad, I wouldn't need you to announce it for me."
dlg.hkr.empty_cushion.reimu.stain,Put the cup down. The stain under the donation box is moving.
dlg.hkr.empty_cushion.reimu.danmaku_clear,Good. It stopped pretending to be part of the floor.
dlg.hkr.empty_cushion.reimu.danmaku_assist,I'll take the last edge. You kept it away from the cups.
dlg.hkr.empty_cushion.reimu.danmaku_loss,Back up. Losing an argument with a stain is still survivable.
dlg.hkr.empty_cushion.marisa.terms_intro,"If we're settling boundaries, let's settle the spell-card terms too."
dlg.hkr.empty_cushion.reimu.duel_win,Two seals. Fine. You remembered the terms.
dlg.hkr.empty_cushion.reimu.duel_loss,Terms accepted. You can argue for a rematch tomorrow.
dlg.hkr.empty_cushion.reimu.afterbeat_01,Your tea's cold. Leave it; I already poured another.
dlg.hkr.empty_cushion.reimu.afterbeat_02,The path gets dark early. Take the lantern by the gate.
dlg.hkr.empty_cushion.reimu.afterbeat_03,The guest bedding is aired and ready.
dlg.hkr.empty_cushion.reimu.afterbeat_04,"That's information, not an invitation. Don't make it important."
journal.hkr.empty_cushion.title,The Empty Second Cup
journal.hkr.empty_cushion.body,The cup was warm before I arrived. The cushion is no longer stored away. An empty place can be a kind of invitation.
ui.map.travel,Travel
ui.common.back,Back
ui.journal.open,Journal
